[智利圣地亚哥东南部的室内空气污染]。	[Indoor air pollution in southeast Santiago, Chile].
[对胎儿生长受限的极低出生体重儿的严重程度、比例和死亡风险的评估。南美多中心分析]。	[An assessment of the severity, proportionality and risk of mortality of very low birth weight infants with fetal growth restriction. A multicenter South American analysis].
[先天性冠状动脉起源异常。诊断和治疗方面]。	[Congenital anomalies of the origin of the coronary arteries. The diagnostic and therapeutic aspects].
[2型脊髓小脑共济失调：心理康复经验]。	[Type 2 spinocerebellar ataxia: an experience in psychological rehabilitation].
[使用不透射线标记物研究慢性便秘患者的结肠通过时间]。	[Study of colonic transit time with radiopaque markers in patients with chronic constipation].
[慢性阻塞性肺疾病患者痰液中IgA和溶菌酶蛋白的定量。一、蛋白质与痰液粘度的关系]。	[Quantification of IgA and lysozyme proteins in sputum from patients with chronic obstructive pulmonary disease. I. Relation of the proteins to sputum viscosity].
[主要为肾小球原发性肾脏疾病的分类（作者翻译)]。	[Classification of predominantly glomerular primary renal diseases (author's transl)].
[萨拉曼卡老年人口和高胆固醇血症预防运动]。	[Elderly population and campaigns for the prevention of hypercholesterolemia in Salamanca].
[内科住院患者入院原因与死亡原因的关系]。	[Relationship between the cause of admission and the cause of death in patients admitted to an internal medicine departament].
[肠膀胱瘘]。	[Enteroneovesical fistula].
[移民是美洲一体化进程的一部分]。	[Migration as part of the integration process in the Americas].
[克雷塔罗甲型H1N1流感的流行病学特征]。	[Epidemiologic characteristics of influenza A H1N1 in Queretaro].
[继续教育。35.主题：行为科学。主题：沟通视角下的卫生专业人员与患者]。	[Continuing education. 35. Subject: the behavioral sciences. Topic: the health professional and the patient from the communication angle].
[JoséLeoncio Cunza Asencios(1917-1975)]。	[José Leoncio Cunza Asencios (1917-1975)].
[认识极限的智慧]。	[The wisdom of recognizing limits].
[睡眠对慢性阻塞性肺疾病的影响]。	[Effects of sleep on chronic obstructive pulmonary disease].
[霍奇金病中的胸膜肺受累。霍奇金病79例系列研究]。	[Pleuropulmonary involvement in Hodgkin's disease. Study of a series of 79 cases of Hodgkin's disease].
[对手术应激的反应及其营养后果]。	[Reaction to surgical stress and its nutritional consequences].
[阿莫西林致过敏性休克，青霉素耐受性好]。	[Anaphylactic shock caused by amoxicillin with good tolerance of penicillin].
[C2-C3的假亚硝化]。	[Pseudosubluxation of C2-C3].
[重症肌无力的血浆置换]。	[Plasmapheresis in myasthenia gravis].
[管理家庭医生在诊所的疑惑]。	[Managing the doubts of the Family Doctor in the clinic].
[家族性生长激素选择性缺乏]。	[Familial selective deficiency of somatotropin].
[通过反应条评估钠摄入]。	[Evaluation of sodium ingestion by reactive strips].
[结核性感染新预防方案的评估。二、议案卡介苗接种]。	[An evaluation of new prevention programs for tuberculous infection. II. BCG vaccination].
[输血后紫癜。6个月内在同一家医院诊断的2例病例描述]。	[Post-transfusion purpura. Description of 2 cases diagnosed at the same hospital in a 6-month period].
[因摄入陶器罐中调味的橄榄引起的铅中毒：卡布拉-卢塞纳地区的流行病学研究]。	[Lead poisoning induced by the ingestion of olives seasoned in earthenware pots: epidemiologic study in the Cabra-Lucena area].
[子宫粘膜网状内皮系统的起源和发展]。	[Origin and development of the reticuloendothelial system of the uterine mucosa].
[社区肠道寄生虫病知识、认知和行为的试点研究]。	[Pilot study on the knowledge, perception and behavior regarding intestinal parasitism in a community].
[青霉素类和β-内酰胺酶抑制剂]。	[Penicillins and beta-lactamase inhibitors].
[溃疡性结肠炎伴库姆斯+自身免疫性溶血性贫血。药物治疗反应良好一例报告]。	[Ulcerative colitis with Coombs+ autoimmune hemolytic anemia. A report of a case with favorable response to medical treatment].
[淋巴瘤放疗后的甲状腺疾病]。	[Thyroid disorders after radiation of lymphoma].
[丁丙诺啡摄入后的阵发性心房颤动]。	[Paroxysmal auricular fibrillation after the ingestion of buprenorphine].
[当代一些移民的经济解释。西班牙的情况]。	[An economic interpretation of some contemporary migrations. The case of Spain].
[经桡动脉行冠状动脉成形术和支架置入术。病例报告]。	[Coronary angioplasty and stent placement through the radial artery. Report of a case].
[新生儿期坏死性气管支气管炎继发支气管阻塞。关于一个案件]。	[Bronchial obstruction secondary to necrotizing tracheobronchitis in the neonatal period. Apropos of a case].
[盲端输尿管裂：临床和诊断研究]。	[Blind-ending bifid ureter: clinical and diagnostic study].
[经皮冠状动脉介入治疗患者心血管危险因素的演变]。	[Evolution of cardiovascular risk factors in patients undergoing percutaneous coronary intervention].
[主动脉瓣疾病的新进展]。	[New aspects in aortic valve disease].
[红斑狼疮中的病毒因子]。	[Viral agents in lupus erythematosus].
[强制报告1986年和1987年由城市初级保健团队通知的疾病]。	[Compulsory reporting diseases notified in 1986 and 1987 by a team of urban primary care].
[丙泊酚在佩罗尼综合征中应用的临床评价]。	[Clinical evaluation of the use of propoleum in Peyronie's disease].
[正畸与咬合]。	[Orthodontics and occlusion].
[古巴比那尔德里奥洛斯帕拉西奥斯市人类钩端螺旋体病的临床和流行病学行为]。	[Clinical and epidemiological behavior of human leptospirosis in Los Palacios municipality, Pinar del Rio, Cuba].
[精神分裂症的自知力、神经认知和精神病理学]。	[Insight, neurocognition and psychopathology in schizophrenia].
[多发性外生骨疣和家族性马德隆畸形伴心脏病]。	[Multiple exostoses and familial Madelung's deformity associated with heart disease].
[初级保健和冬季流行病]。	[Primary care and winter epidemics].
[关于“临床非小细胞N2支气管肺癌的多模式治疗：答案是什么？''].	[On ''Multimodal treatment of clinical non-small cell N2 bronchogenic carcinoma: what is the answer?''].
[在B细胞非霍奇金淋巴瘤儿童患者中进行的SHOP LNHB98(LMB89）试验结果]。	[Results of the SHOP LNHB98 (LMB89) trial in pediatric patients with B-cell non-Hodgkin's lymphoma].
[涉及人类的研究方案中伦理风险估计指南提案]。	[Proposal of guidelines for the estimation of ethical risk in research protocols involving humans].
[腹腔内感染经验性抗生素治疗指南]。	[Guidelines for the empirical antibiotic treatment of intra-abdominal infections].
[肺包虫病的外科治疗：450例经验（作者译著)]。	[Surgical treatment of pulmonary hydatid disease: experience in 450 cases (author's transl)].
[人工瓣膜血栓形成：哪种是最合适的初始治疗？].	[Prosthetic valve thrombosis: which is the most appropriate initial therapy?].
[心源性卒中二级预防进展]。	[Advances in the secondary prevention of cardioembolic stroke].
[脑囊虫病患者的护理]。	[Nursing care of paiients with neurocysticercosis].
[安达卢西亚抗糖尿病药物处方趋势(1986-1994)]。	[Trends of antidiabetic drug prescriptions in Andalucia (1986-1994)].
[左形态单心室伴L-转位。10例临床报告]。	[Single ventricle of left morphology with L-transposition. Clinical report of 10 cases].
[喉结核。2例报告]。	[Laryngeal tuberculosis. Report of 2 cases].
[吞咽困难的诊断评估。二、议案Zenker（Pulsion）憩室与胃小弯上内侧3d垂直部分的溃疡样肿瘤型生态位共存]。	[Diagnostic evaluation of dysphagia. II. Zenker's (pulsion) diverticulum coexisting with an ulcer-like neoplastic type niche of the upper medial 3d, vertical portion, of the gastric lesser curvature].
[墨西哥奇瓦瓦州华雷斯市的环境PM2.5水平和距交通繁忙道路的距离]。	[Environmental PM2.5 levels and distance from a heavy traffic road in Ciudad Juarez, Chihuahua, Mexico].
[研究生医学教育的新策略。I]。	[A new strategy for post-graduate medical education. I].
[在接受或未接受重组促红细胞生成素血液透析的患者中，前hepcidin及其与铁代谢和炎症指标的关系]。	[Pro-hepcidin, its relation with indicators of iron metabolism and of inflammation in patients hemodialyzed treated or not with recombinant erythropoietin].
[阿根廷平菇的栽培。].	[Cultivation of Pleurotus laciniatocrenatus in Argentina.].
[阴茎和会阴的正常回声解剖]。	[Normal echographic anatomy of the penis and the perineum].
[内科医生的当前角色]。	[The current role of internists].
[痛风患者研究：过去2年监测的临床特征]。	[Study of patients with gout: clinical features in the last 2 years of monitoring].
[糖尿病昏迷患者护理中的护士]。	[The nurse in the care for the patient with diabetic coma].
[血管炎和病毒感染]。	[Vasculitis and viral infection].
[多腺炎是急性Q热的一种不常见表现形式]。	[Polyadenitis as an unusual form of presentation of acute Q fever].
[墨西哥孕产妇死亡率高的州的卫生系统问题]。	[Problems of the health system in Mexican states with high incidence of maternal mortality].
HIDA Tc 99胆道闭锁研究]。	[Study of biliary tract atresia with HIDA Tc 99].
1939-1975年佛朗哥时期西班牙核工业的放射防护。	Radiological protection in the Spanish nuclear industry under Franco, 1939-1975.
[急腹症伴结肠放线菌病：病例报告]。	[Acute abdomen with actinomycosis of the colon: A case report].
[原发性免疫缺陷和主要组织相容性系统]。	[Primary immunodeficiencies and the major histocompatibility system].
[哥伦比亚献血者中无隐匿性乙型肝炎]。	[Absence of occult hepatitis B in Colombian blood donors].
[上皮样平滑肌瘤（平滑肌母细胞瘤）。胃定位3例，其中1例为恶性]。	[Epithelioid leiomyomas (leiomyoblastomas). Apropos of 3 cases with a gastric localization, 1 of them malignant].
[HIV感染患者的肝移植]。	[Liver transplantation in patients with HIV infection].
[6种遗传标记对墨西哥城非法身份识别的敏感性]。	[Sensitivity of 6 genetic markers for the identification of illegitimacy in Mexico City].
[马德里社区一所高中青少年样本中几种冠状动脉危险因素的患病率和并发性]。	[Prevalence and concurrence of several coronary risk factors in a sample of adolescents at a high school in the community of Madrid].
阿根廷、萨尔瓦多、洪都拉斯、巴拿马、秘鲁和乌拉圭可避免失明和视力障碍全国调查。	National surveys of avoidable blindness and visual impairment in Argentina, El Salvador, Honduras, Panama, Peru, and Uruguay.
[鼠伤寒。环丙沙星治疗的疗效]。	[Murine typhus. Efficacy of treatment with ciprofloxacin].
[重症监护气管造口术后急性腮腺炎]。	[Acute parotiditis after tracheostomy in Intensive Care].
[呼吸窘迫伴贫血、血小板减少和肾衰竭]。	[Respiratory distress with anemia, thrombopenia and renal failure].
[450例手术治疗耳漏的解剖病理学、宏观和微观研究]。	[Anatomo-pathological, macro- and microscopic study of 450 cases of otorrhea treated surgically].
[铜绿假单胞菌引起的自发性细菌性腹膜炎]。	[Spontaneous bacterial peritonitis caused by Pseudomonas aeruginosa].
[昆迪纳马卡马德里一所学校福氏志贺菌引起的急性腹泻暴发：分离株的表型和基因型特征]。	[Acute diarrhea outbreak caused by Shigella flexneri at a school in Madrid, Cundinamarca: phenotypic and genotypic characterization of the isolates].
[作者对术前护理访视的回应：术前教育在降低手术患者焦虑中的有效性。].	[Response by the author on &quot;pre-surgical nursing visit: effectiveness of pre-operative education in reducing anxiety in surgical patients&quot;].
[口腔预防医学规范]。	[Norms for preventive medicine of the mouth].
[异物（鱼骨）从上消化道向颈部皮肤迁移和挤出]。	[Migration and extrusion from the upper digestive tract to the skin of the neck of a foreign body (fish bone)].
[安全带所致迟发性肠梗阻]。	[Delayed intestinal obstruction due to a seatbelt].
[阿根廷科尔多瓦州不同地区交替鼻猴毒液的毒性]。	[The toxicity of venom of Bothrops (Rhinocerophris) alternatus in different areas of Cordoba State in Argentina].
[免疫学在它的世纪。米格尔·希门尼斯会议，1996年]。	[Immunology in its century. Miguel F. Jiménez Conference, 1996].
[边缘化、族裔群体和健康]。	[Marginality, ethnic groups and health].
IgA选择性缺乏。罕见并发症]。	[Selective deficiency of IgA. Infrequent complications].
[一种生长补充剂，用于挑剔的细菌。].	[A growth supplement for quot;fastidious germs&quot;].
[胆囊癌：综述]。	[Gallbladder cancer: a review].
多元技术及其哲学。	[The multifase technic and its philosophy].
[先天性水痘综合征与新生儿带状疱疹]。	[Congenital varicella syndrome and neonatal herpes zoster].
[用于肿瘤检测的同位素标记抗体]。	[Antibodies labelled with isotopes for tumor detection].
[锑剂治疗内脏利什曼病：是否有最大剂量？].	[Treatment of visceral leishmaniasis in patients with antimonials: is there a maximal dose?].
地理差异及cagA基因在幽门螺杆菌感染相关胃十二指肠疾病中的作用。	Geographic differences and the role of cagA gene &in gastroduodenal diseases associated with Helicobacter pylori infection.
[结直肠癌：诊断延迟、扩散程度和生存率是否相关？随访4年以上307例临床分析]。	[Colorectal cancer: are diagnostic delay, degree of spread and survival related? Clinical analysis of 307 cases followed up for more than 4 years].
[使用流行病学和生物信息学研究HTLV-1感染相关的成人T细胞白血病]。	[Using epidemiology and bioinformatics for studying HTLV-1 infection-associated adult T-cell leukemia].
[智利北部临终前样本中与环境砷暴露相关的隐性脊柱裂]。	[Spina bifida occulta associated with environmental arsenic exposure in a prehispanic sample from northern Chile].
[丝孢菌属]。	[Trichosporon genus].
[尿素酶试验（CLOtest）与组织学在幽门弯曲杆菌诊断中的比较]。	[Comparison of urease test (CLOtest) and histology in the diagnosis of Campylobacter pylori].
[用于肠内营养的蛋白质混合物的生物学评价]。	[Biological evaluation of a protein mixture intended for enteral nutrition].
[哌拉西林治疗肝硬化自发性腹膜炎]。	[Piperacillin in the treatment of spontaneous peritonitis in hepatic cirrhosis].
[性欲和性行为]。	[Libido and sexuality].
[肿瘤标志物在预测膀胱移行细胞癌中的作用]。	[The role of tumor markers in prognosing transitional bladder cancer].
[职业健康。工人的健康优先领域]。	[Occupational health. A health priority area for workers].
[Journal&quot；nutricion hospital aria&quot；].	[THE TEN MOST CITED ARTICLES OF THE JOURNAL &quot;NUTRICION HOSPITALARIA&quot;].
[初级听觉皮层功能性磁共振研究的结果(I)：一般特征和个体结果]。	[Results of a functional magnetic resonance study of the primary auditory cortex (I): general characteristics and individual outcomes].
[淋巴瘤患者的结核病]。	[Tuberculosis in patients with lymphomas].
[比较低剂量与常规剂量高压氧布比卡因用于计划剖宫产的随机对照试验。反思]。	[Randomized controlled trial comparing a low dose to a conventional dose of hyperbaric bupivacaine for scheduled cesarean section. Reflections].
[人类遗传学。导论（作者译文)]。	[Human genetics. An introduction (author's transl)].
[回顾1997年肾癌TNM分类中T1期和T2期之间的界限点]。	[Review of cut-off points between stages T1 and T2 in the 1997 TNM classification of renal carcinoma].
[地区牙科部门组织计划]。	[Organization plan of the regional department of dentistry].
筛窦同步腺癌和脑膜瘤。	Synchronous adenocarcinoma and meningioma of the ethmoid.
[NaCl contransporter噻嗪敏感的结构、功能和病理方面]。	[Structural functional and pathological aspects of the NaCl contransporter thiazide sensitive].
[移植的生命伦理基础]。	[Bioethical bases in transplantation].
[急性淋巴细胞白血病停药：停止治疗后80例疗程]。	[Acute lymphoblastic leukemias off therapy: course of 80 cases after treatment cessation].
[糖原累积病Ib型的复发性感染]。	[Recurrent infections in glycogenosis type Ib].
[作者-审稿人和编辑，寄生还是共生？].	[Authors-reviewers and editors, parasitism or symbiosis?].
[杜兰戈计划生育诊所就诊妇女的贫血患病率（作者译著)]。	[Prevalence of anemia in women attending family planning clinic in Durango (author's transl)].
[阿根廷的婴儿死亡率和社会经济不平等：时间趋势]。	[Infant mortality and socioeconomic inequality in Argentina: temporal trends].
[波哥大44岁以上成人药物不良反应特征，2012年1月至12月]。	[Characterization of adverse drug reactions in adults over 44 years of age in Bogota, January-December, 2012].
[阿根廷的土壤传播蠕虫病。系统综述]。	[Soil transmitted helminthiasis in Argentina. A systematic review].
[以脑膜血管梅毒为表现的血压正常脑积水]。	[Normotensive hydrocephalus as a manifestation of meningovascular syphilis].
10例催眠性头痛系列患者的描述：诊断标准的讨论。	Description of series of 10 patients with hypnic headache: Discussion of the diagnostic criteria.
[先天性白血病。关于一个案件]。	[Congenital leukemia. Apropos of a case].
[19世纪西班牙的城市工人阶级住房]。	[Urban working-class housing in 19th-century Spain].
[记忆：过去应该教我们一些关于现在的事情]。	[Memory: the past should teach us something about the present].
[稳定的汽车发动机噪声不影响睡眠呼吸暂停综合征患者的认知能力]。	[Steady car engine noise does not affect the cognitive abilities of sleep apnea syndrome patients].
[第五次会议：医学技术发展的历程]。	[The fifth meeting: the process of technological development in medicine].
[肺癌早期诊断]。	[Early diagnosis of lung cancer].
[阿根廷强化后期间神经管缺陷的患病率和避免的病例估计]。	[Prevalence of neural tube defects and estimation of cases averted in the post-fortification period in Argentina].
[放疗后心脏病。病例报告]。	[Post-radiation cardiac disease. Report of a case].
[前哨淋巴结转移的一步核酸扩增(OSNA)分析作为乳腺癌常规术后组织学的替代方法：一项成本效益分析]。	[One-step nucleic acid amplification (OSNA) assay for sentinel lymph node metastases as an alternative to conventional postoperative histology in breast cancer: A cost-benefit analysis].
系列位置效应在轻度认知障碍、阿尔茨海默型痴呆和正常衰老鉴别诊断中的相关性。	Relevance of the serial position effect in the differential diagnosis of mild cognitive impairment, Alzheimer-type dementia, and normal ageing.
[采用子宫外产时治疗程序治疗的两例先天性气道阻塞：麻醉意义]。	[Two cases of congenital airway obstruction managed with ex utero intrapartum treatment procedures: anesthetic implications].
[收缩波在非妊娠人子宫中传播的研究]。	[Study of propagation of the contractile wave in the nonpregnant human uterus].
[牙髓治疗中使用的药物作用导致的锉和铰刀变质]。	[Deterioration of files and reamers by the action of drugs used in endodontic therapy].
[西班牙糖尿病流行病学。批判性评论和新观点]。	[Epidemiology of diabetes mellitus in Spain. Critical review and new perspectives].
[放射性碘消融治疗后胸腺对18FFDG的摄取]。	[Thymic uptake of 18FFDG following radioiodine ablation therapy].
[静脉曲张硬化治疗]。	[Sclerosing treatment of varicose veins].
[上纵窦肿瘤性血栓形成所致双侧出血性梗死]。	[Bilateral hemorrhagic infarction caused by tumoral thrombosis of the superior longitudinal sinus].
[免疫功能正常女孩的单核细胞增生性李斯特菌脑膜炎]。	[Listeria monocytogenes meningitis in an immunocompetent girl].
[倒Y型输尿管重复畸形]。	[Inverted Y ureteral duplication].
[安达卢西亚的死亡地点：年龄、性别和死亡原因的影响]。	[Place of death in Andalusia: influence of age, gender and cause of death].
[毛母细胞瘤（马尔赫比钙化上皮瘤）。病例报告并文献复习]。	[Pilomatrixoma (calcified epithelioma of Malherbe). Report of a case and brief review ot the literature].
[厚金属阴茎嵌顿]。	[Penile incarceration of thick metal].
[性腺发育不全或性腺发育不全综合征（作者翻译)]。	[Agonadism or gonadal agenesis syndrome (author's transl)].
[老年人群精神障碍发生相关因素筛查(PSICOTARD)]。	[Screening for factors relating to the development of mental disorders in the geriatric population (PSICOTARD)].
[受体和抗体概念的历史]。	[History of the concepts of receptor and antibody].
[胚胎性横纹肌肉瘤乳腺转移：约2例并文献复习]。	[Breast metastases from embryonal rhabdomyosarcoma: apropos 2 cases and a review of the literature].
[主动脉内反搏和多巴胺在实验性心源性休克伴闭合性胸廓中的协同作用]。	[Synergic effects of intra-aortic counterpulsation and dopamine in experimental cardiogenic shock with closed thorax].
[股动脉真菌性动脉瘤破裂]。	[Ruptured mycotic aneurysm of the femoral artery].
[脑昏迷中的Osborn波：18例患者的临床、心电图和发育分析]。	[Osborn's wave in cerebral coma: clinical, electrocardiographic, and developmental analysis of 18 patients].
[原发性胃CD30(Ki-1）阳性间变性大细胞淋巴瘤]。	[Primary gastric CD30 (Ki-1)-positive anaplastic large cell lymphoma].
[丙泊酚相关神经肌肉兴奋2例报告]。	[Presentation of 2 cases of neuromuscular excitation associated with propofol].
[与慢性粒细胞白血病相关的乳腺癌，表现为胚细胞危象（作者的transl)]。	[Breast cancer associated to chronic myelogenous leukaemia appearing as blastic crisis (author's transl)].
[与美沙酮相关的发病率和死亡率]。	[Morbidity and mortality related to methadone].
[寻找失去的机会：结核病控制的优先事项]。	[In search of lost opportunities: priorities in the control of tuberculosis].
[偏颌畸形和面部不对称的手术-正畸治疗]。	[Surgical-orthodontic therapy for laterognathism and facial asymmetry].
[喉罩在重症肌无力患者腹部手术中的应用]。	[The use of laryngeal mask in abdominal surgery in a patient with myasthenia gravis].
[65岁以上人群献血]。	[Blood donation in persons older than 65 years].
[影响母乳喂养选择和持续时间的因素]。	[Factors influencing election and duration of maternal breast feeding].
[化疗后HBsAg阴性和HBsAc/HBcAc阳性患者的HBV再激活]。	[HBV reactivation in a negative HBsAg patient and HBsAc/HBcAc positive after treatment with chemotherapy].
[抗炎药物和胃肠道病变，反之亦然]。	[Anti-inflammatory drugs and gastrointestinal lesions, or vice versa].
[选择性IgA缺乏和活动性慢性肝炎]。	[Selective IgA deficiency and active chronic hepatitis].
[智利成人低和高α脂蛋白血症的机制]。	[Mechanisms of hypo and hyper alphalipoproteinemia in Chilean adults].
[西班牙分子定义的杂合性家族性高胆固醇血症受试者中LDL受体基因FH Valencia 1和2突变对辛伐他汀应答的影响]。	[Influence of FH Valencia 1 and 2 mutations of the LDL receptor gene on the response to simvastatin in subjects with molecularly defined heterozygous familial hypercholesterolemia in Spain].
[椎体全矢状劈开（蝶形椎)]。	[Full sagittal clefting of vertebral body (butterfly vertebra)].
